S.No.,State Code,State Name,Parliament Constituency Code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency Name
767,30,Goa,480,North Goa,3677,Aldona
768,30,Goa,480,North Goa,3678,Bicholim
769,30,Goa,480,North Goa,3679,Calangute
770,30,Goa,480,North Goa,3680,Cumbarjua
771,30,Goa,480,North Goa,3681,Maem
772,30,Goa,480,North Goa,3682,Mandrem
773,30,Goa,480,North Goa,3683,Mapusa
774,30,Goa,480,North Goa,3684,Panaji
775,30,Goa,480,North Goa,3685,Pernem
776,30,Goa,480,North Goa,3686,Poriem
777,30,Goa,480,North Goa,3687,Porvorim
778,30,Goa,480,North Goa,3688,Priol
779,30,Goa,480,North Goa,3689,Saligao
780,30,Goa,480,North Goa,3690,Sanquelim
781,30,Goa,480,North Goa,3691,Siolim
782,30,Goa,480,North Goa,3692,St. Andre
783,30,Goa,480,North Goa,3693,St. Cruz
784,30,Goa,480,North Goa,3694,Taleigao
785,30,Goa,480,North Goa,3695,Tivim
786,30,Goa,480,North Goa,3696,Valpoi
787,30,Goa,481,South Goa,3697,Benaulim
788,30,Goa,481,South Goa,3698,Canacona
789,30,Goa,481,South Goa,3699,Cortalim
790,30,Goa,481,South Goa,3700,Cuncolim
791,30,Goa,481,South Goa,3701,Curchorem
792,30,Goa,481,South Goa,3702,Curtorim
793,30,Goa,481,South Goa,3703,Dabolim
794,30,Goa,481,South Goa,3704,Fatorda
795,30,Goa,481,South Goa,3705,Marcaim
796,30,Goa,481,South Goa,3706,Margao
797,30,Goa,481,South Goa,3707,Mormugao
798,30,Goa,481,South Goa,3708,Navelim
799,30,Goa,481,South Goa,3709,Nuvem
800,30,Goa,481,South Goa,3710,Ponda
801,30,Goa,481,South Goa,3711,Quepem
802,30,Goa,481,South Goa,3712,Sanguem
803,30,Goa,481,South Goa,3713,Sanvordem
804,30,Goa,481,South Goa,3714,Siroda
805,30,Goa,481,South Goa,3715,Vasco-da-gama
806,30,Goa,481,South Goa,3716,Velim
