S.No.,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Ward Code,Ward Name,Urban Localbody Code,Urban Localbody Name,Localbody Type,State Code
1,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,68191,Bicholim (M Cl) - Ward No.6,252075,Bicholim,Municipality,30
2,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,74919,Bicholim (M Cl) - Ward No.8,252075,Bicholim,Municipality,30
3,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,1307281,Bicholim (M Ci) - Ward No. 11,252075,Bicholim,Municipality,30
4,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,74918,Bicholim (M Cl) - Ward No.7,252075,Bicholim,Municipality,30
5,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,68189,Bicholim (M Cl) - Ward No.4,252075,Bicholim,Municipality,30
6,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,3055173,Bicholim (M CI) - Ward No 13,252075,Bicholim,Municipality,30
7,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,74919,Bicholim (M Cl) - Ward No.8,252075,Bicholim,Municipality,30
8,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,68190,Bicholim (M Cl) - Ward No.5,252075,Bicholim,Municipality,30
9,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,68186,Bicholim (M Cl) - Ward No.1,252075,Bicholim,Municipality,30
10,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,68188,Bicholim (M Cl) - Ward No.3,252075,Bicholim,Municipality,30
11,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,68186,Bicholim (M Cl) - Ward No.1,252075,Bicholim,Municipality,30
12,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,68191,Bicholim (M Cl) - Ward No.6,252075,Bicholim,Municipality,30
13,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,1307281,Bicholim (M Ci) - Ward No. 11,252075,Bicholim,Municipality,30
14,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,68187,Bicholim (M Cl) - Ward No.2,252075,Bicholim,Municipality,30
15,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,74920,Bicholim (M Cl) - Ward No.9,252075,Bicholim,Municipality,30
16,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,74921,Bicholim (M Cl) - Ward No.10,252075,Bicholim,Municipality,30
17,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,3055174,Bicholim (M CI) - Ward No 14,252075,Bicholim,Municipality,30
18,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,3055174,Bicholim (M CI) - Ward No 14,252075,Bicholim,Municipality,30
19,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,3055173,Bicholim (M CI) - Ward No 13,252075,Bicholim,Municipality,30
20,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,1307282,Bicholim (M Ci) - Ward No. 12,252075,Bicholim,Municipality,30
21,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,74921,Bicholim (M Cl) - Ward No.10,252075,Bicholim,Municipality,30
22,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,68188,Bicholim (M Cl) - Ward No.3,252075,Bicholim,Municipality,30
23,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,1307282,Bicholim (M Ci) - Ward No. 12,252075,Bicholim,Municipality,30
24,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,68189,Bicholim (M Cl) - Ward No.4,252075,Bicholim,Municipality,30
25,480,1,North Goa,3678,3,Bicholim,551,North Goa,5612,Bicholim,74918,Bicholim (M Cl) - Ward No.7,252075,Bicholim,Municipality,30
26,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,68187,Bicholim (M Cl) - Ward No.2,252075,Bicholim,Municipality,30
27,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,74920,Bicholim (M Cl) - Ward No.9,252075,Bicholim,Municipality,30
28,480,1,North Goa,3678,3,Bicholim,551,North Goa,,,68190,Bicholim (M Cl) - Ward No.5,252075,Bicholim,Municipality,30
29,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1437,Mapusa (M Cl) - Ward No.2,252061,Mapusa,Municipality,30
30,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1472,Mapusa (M Cl) - Ward No.7,252061,Mapusa,Municipality,30
31,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1307292,Mapusa (M Ci) - Ward No. 19,252061,Mapusa,Municipality,30
32,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1475,Mapusa (M Cl) - Ward No.10,252061,Mapusa,Municipality,30
33,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1307288,Mapusa (M Ci) - Ward No. 15,252061,Mapusa,Municipality,30
34,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1472,Mapusa (M Cl) - Ward No.7,252061,Mapusa,Municipality,30
35,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1436,Mapusa (M Cl) - Ward No.1,252061,Mapusa,Municipality,30
36,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1307290,Mapusa (M Ci) - Ward No. 17,252061,Mapusa,Municipality,30
37,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1307291,Mapusa (M Ci) - Ward No. 18,252061,Mapusa,Municipality,30
38,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1473,Mapusa (M Cl) - Ward No.8,252061,Mapusa,Municipality,30
39,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1470,Mapusa (M Cl) - Ward No.5,252061,Mapusa,Municipality,30
40,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1474,Mapusa (M Cl) - Ward No.9,252061,Mapusa,Municipality,30
41,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1478,Mapusa (M Cl) - Ward No.13,252061,Mapusa,Municipality,30
42,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1307289,Mapusa (M Ci) - Wara No. 16,252061,Mapusa,Municipality,30
43,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1436,Mapusa (M Cl) - Ward No.1,252061,Mapusa,Municipality,30
44,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1307293,Mapusa (M Ci) - Ward No. 20,252061,Mapusa,Municipality,30
45,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1476,Mapusa (M Cl) - Ward No.11,252061,Mapusa,Municipality,30
46,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1307287,Mapusa (M Ci) - Ward No. 14,252061,Mapusa,Municipality,30
47,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1307289,Mapusa (M Ci) - Wara No. 16,252061,Mapusa,Municipality,30
48,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1471,Mapusa (M Cl) - Ward No.6,252061,Mapusa,Municipality,30
49,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1307290,Mapusa (M Ci) - Ward No. 17,252061,Mapusa,Municipality,30
50,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1307292,Mapusa (M Ci) - Ward No. 19,252061,Mapusa,Municipality,30
51,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1477,Mapusa (M Cl) - Ward No.12,252061,Mapusa,Municipality,30
52,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1307287,Mapusa (M Ci) - Ward No. 14,252061,Mapusa,Municipality,30
53,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1478,Mapusa (M Cl) - Ward No.13,252061,Mapusa,Municipality,30
54,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1468,Mapusa (M Cl) - Ward No.3,252061,Mapusa,Municipality,30
