S.No,State Code,State Name English,Parliament Constituency Code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency Name,Entity Type,Entity Code,Entity Name,Coverage Type,State Name
1,30,,480,North Goa,3677,Aldona,District,551,North Goa,Partly Covered,Goa
2,30,,480,North Goa,3677,Aldona,SubDistrict,5610,Bardez,Partly Covered,Goa
3,30,,480,North Goa,3677,Aldona,Village,626667,Moitem,Fully Covered,Goa
4,30,,480,North Goa,3677,Aldona,Village,626678,Bastora,Fully Covered,Goa
5,30,,480,North Goa,3677,Aldona,Village,626679,Paliem,Fully Covered,Goa
6,30,,480,North Goa,3677,Aldona,Village,626680,Punola,Fully Covered,Goa
7,30,,480,North Goa,3677,Aldona,Village,626681,Ucassaim,Fully Covered,Goa
8,30,,480,North Goa,3677,Aldona,Village,626682,Nachinola,Fully Covered,Goa
9,30,,480,North Goa,3677,Aldona,Village,626683,Corjuem,Fully Covered,Goa
10,30,,480,North Goa,3677,Aldona,Village,626684,Ponolem,Fully Covered,Goa
11,30,,480,North Goa,3677,Aldona,Village,626685,Calvim,Fully Covered,Goa
12,30,,480,North Goa,3677,Aldona,Village,626686,Olaulim,Fully Covered,Goa
13,30,,480,North Goa,3677,Aldona,Village,626687,Pomburpa,Fully Covered,Goa
14,30,,480,North Goa,3677,Aldona,Village,626692,Moira (Ct),Fully Covered,Goa
15,30,,480,North Goa,3677,Aldona,Village,626704,Aldona (Ct),Fully Covered,Goa
16,30,,480,North Goa,3678,Bicholim,District,551,North Goa,Partly Covered,Goa
17,30,,480,North Goa,3678,Bicholim,Localbody,252075,Bicholim,Fully Covered,Goa
18,30,,480,North Goa,3678,Bicholim,SubDistrict,5612,Bicholim,Partly Covered,Goa
19,30,,480,North Goa,3678,Bicholim,Village,626741,Mencurem,Fully Covered,Goa
20,30,,480,North Goa,3678,Bicholim,Village,626742,Dumacem,Fully Covered,Goa
21,30,,480,North Goa,3678,Bicholim,Village,626743,Salem,Fully Covered,Goa
22,30,,480,North Goa,3678,Bicholim,Village,626744,Latambarcem,Fully Covered,Goa
23,30,,480,North Goa,3678,Bicholim,Village,626745,Adwalpale,Fully Covered,Goa
24,30,,480,North Goa,3678,Bicholim,Village,626747,Mulgao,Fully Covered,Goa
25,30,,480,North Goa,3678,Bicholim,Village,626755,Naroa,Fully Covered,Goa
26,30,,480,North Goa,3678,Bicholim,Village,924814,Bordem,Fully Covered,Goa
27,30,,480,North Goa,3678,Bicholim,Village,924818,Lamgao,Fully Covered,Goa
28,30,,480,North Goa,3678,Bicholim,Village,924826,Virdi,Fully Covered,Goa
29,30,,480,North Goa,3678,Bicholim,Village,945831,Bicholim,Fully Covered,Goa
30,30,,480,North Goa,3678,Bicholim,Village,945832,Sankhali,Fully Covered,Goa
31,30,,480,North Goa,3678,Bicholim,Village,945845,Maulinguem South,Fully Covered,Goa
32,30,,480,North Goa,3679,Calangute,District,551,North Goa,Partly Covered,Goa
33,30,,480,North Goa,3679,Calangute,SubDistrict,5610,Bardez,Partly Covered,Goa
34,30,,480,North Goa,3679,Calangute,Village,626673,Arpora,Fully Covered,Goa
35,30,,480,North Goa,3679,Calangute,Village,626674,Nagoa,Fully Covered,Goa
36,30,,480,North Goa,3679,Calangute,Village,626675,Parra,Fully Covered,Goa
37,30,,480,North Goa,3679,Calangute,Village,626695,Calangute (Ct),Fully Covered,Goa
38,30,,480,North Goa,3679,Calangute,Village,626697,Candolim (Ct),Fully Covered,Goa
39,30,,480,North Goa,3680,Cumbarjua,District,551,North Goa,Partly Covered,Goa
40,30,,480,North Goa,3680,Cumbarjua,SubDistrict,5611,Tiswadi,Partly Covered,Goa
41,30,,480,North Goa,3680,Cumbarjua,Village,626708,Capao,Fully Covered,Goa
42,30,,480,North Goa,3680,Cumbarjua,Village,626709,Navelim,Fully Covered,Goa
43,30,,480,North Goa,3680,Cumbarjua,Village,626710,Goltim,Fully Covered,Goa
44,30,,480,North Goa,3680,Cumbarjua,Village,626711,Malar,Fully Covered,Goa
45,30,,480,North Goa,3680,Cumbarjua,Village,626713,Gandaulim,Fully Covered,Goa
46,30,,480,North Goa,3680,Cumbarjua,Village,626714,Ella,Fully Covered,Goa
47,30,,480,North Goa,3680,Cumbarjua,Village,626715,Bainguinim,Fully Covered,Goa
48,30,,480,North Goa,3680,Cumbarjua,Village,626718,Carambolim,Fully Covered,Goa
49,30,,480,North Goa,3680,Cumbarjua,Village,626727,Jua (Ct),Fully Covered,Goa
50,30,,480,North Goa,3680,Cumbarjua,Village,626728,Cumbarjua (Ct),Fully Covered,Goa
51,30,,480,North Goa,3680,Cumbarjua,Village,626729,Corlim (Ct),Fully Covered,Goa
52,30,,480,North Goa,3680,Cumbarjua,Village,626736,Panelim (Og),Fully Covered,Goa
53,30,,480,North Goa,3681,Maem,District,551,North Goa,Partly Covered,Goa
54,30,,480,North Goa,3681,Maem,SubDistrict,5611,Tiswadi,Partly Covered,Goa
55,30,,480,North Goa,3681,Maem,SubDistrict,5612,Bicholim,Partly Covered,Goa
56,30,,480,North Goa,3681,Maem,SubDistrict,5613,Satari,Partly Covered,Goa
57,30,,480,North Goa,3681,Maem,Village,626705,Ambarim,Fully Covered,Goa
58,30,,480,North Goa,3681,Maem,Village,626706,Chorao,Fully Covered,Goa
59,30,,480,North Goa,3681,Maem,Village,626707,Caraim,Fully Covered,Goa
