District Code,District Name (in English),District Census Code 2011,District Census Code 2001,Sub District Code,Sub District Name (in English),Sub District Census Code 2011,Sub District Census Code 2001,Village Code,Village Name (in English),Village Census Code 2011,Village Census Code 2001,Local Body Code,Local Body Name (in English),State Code,State Name
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626704,Aldona (Ct),626704,40113000.0,254349,Aldona,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626694,Anjuna (Ct),626694,3800.0,254354,Anjuna-Caisua,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626673,Arpora,626673,3900.0,254357,Arpora-Nagoa,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626672,Assagao,626672,3700.0,254358,Assagao,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626668,Assonora,626668,3300.0,254359,Assanora,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626678,Bastora,626678,4400.0,254367,Bastora,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626695,Calangute (Ct),626695,40108000.0,254377,Calangute,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626695,Calangute (Ct),626695,40108000.0,254380,Candolim,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626685,Calvim,626685,5200.0,254349,Aldona,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626663,Camurlim,626663,2800.0,254378,Camurli,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626677,Canca,626677,4300.0,254531,Verla Canca,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626697,Candolim (Ct),626697,40109000.0,254380,Candolim,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626691,Colvale (Ct),626691,40104000.0,254396,Colvale,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626683,Corjuem,626683,5000.0,254349,Aldona,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,945828,Corlim,0,,,,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,945829,Cunchelim,0,,,,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626693,Guirim (Ct),626693,40106000.0,254419,Guirim,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626671,Marna,626671,3600.0,254500,Siolim Marna,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626689,Marra,626689,5700.0,254380,Candolim,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626689,Marra,626689,5700.0,254471,Pilerne - Marra,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,945830,Mhapsa,0,,,,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626692,Moira (Ct),626692,4800.0,254442,Moira,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626667,Moitem,626667,3200.0,254359,Assanora,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626682,Nachinola,626682,4900.0,254449,Nachinola,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626665,Nadora,626665,3000.0,254450,Nadora,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626674,Nagoa,626674,4000.0,254357,Arpora-Nagoa,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626698,Nerul (Ct),626698,5600.0,254457,Nerul,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626686,Olaulim,626686,5300.0,254476,"Pomburpa, Olaulim",30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626662,Oxel,626662,2700.0,254462,Oxel,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626679,Paliem,626679,4500.0,254520,Ucassaim-Paliem-Punola,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626675,Parra,626675,4100.0,254469,Parra,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626701,Penha-De-Franca (Ct),626701,40111000.0,254470,Penha-De-France,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626700,Pilerne (Ct),626700,5800.0,254471,Pilerne - Marra,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626666,Pirna,626666,3100.0,254473,Pirna,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626687,Pomburpa,626687,5400.0,254476,"Pomburpa, Olaulim",30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626684,Ponolem,626684,5100.0,254349,Aldona,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626680,Punola,626680,4600.0,254520,Ucassaim-Paliem-Punola,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626699,Reis-Magos,626699,40110000.0,254529,Reis-Magos,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626664,Revora,626664,2900.0,254482,Revora,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626696,Saligao (Ct),626696,40107000.0,254486,Saligao,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626702,Salvador-Do-Mundo (Ct),626702,5900.0,254476,"Pomburpa, Olaulim",30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626702,Salvador-Do-Mundo (Ct),626702,5900.0,254487,Salvador-Do-Mundo,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626688,Sangolda,626688,5500.0,254490,Sangolda,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626690,Siolim (Ct),626690,40103000.0,254500,Siolim Marna,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626690,Siolim (Ct),626690,40103000.0,254501,Siolim-Sodiem,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626669,Sircaim,626669,3400.0,254504,Sirsaim,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626703,Socorro (Ct),626703,40112000.0,254506,Socorro,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626670,Tivim,626670,3500.0,254516,Thivim,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626681,Ucassaim,626681,4700.0,254520,Ucassaim-Paliem-Punola,30,Goa
551,North Goa,585.0,1.0,5610,Bardez,5610.0,2.0,626676,Verla,626676,4200.0,254531,Verla Canca,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626745,Adwalpale,626745,9000.0,254346,Advalpal,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626758,Amone,626758,10300.0,254353,Amona,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,917385,Arvalem,0,,272873,Harvalem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626754,Aturli,626754,9900.0,254439,Mayem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,945831,Bicholim,0,,,,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,924814,Bordem,0,,,,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626763,Carapur (Ct),626763,40115000.0,254424,Karapur-Sarvan,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626760,Cotombi,626760,10500.0,254464,"Pale, Cotombi",30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626757,Cudnem,626757,10200.0,254402,Cudnem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626750,Curchirem,626750,9500.0,254437,Ona Maulinguem Curchirem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626742,Dumacem,626742,8700.0,254440,Mencurem Dumacem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,924818,Lamgao,0,,,,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626744,Latambarcem,626744,8900.0,254430,Latambarcem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626752,Maem,626752,9700.0,254439,Mayem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626749,Maulinguem-North,626749,9400.0,254437,Ona Maulinguem Curchirem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,945845,Maulinguem South,0,,,,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626741,Mencurem,626741,8600.0,254440,Mencurem Dumacem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626747,Mulgao,626747,9200.0,254448,Mulgao,30,Goa
