S.No.,Localbody Type Code,Localbody Type Name,Localbody Code,Localbody Version,Localbody Name (In English),Localbody Name (In Local),Parent Localbody Code,State Code,State Name
1.0,1,District Panchayat,506,1,North Goa,NORTH GOA,,30,Goa
2.0,1,District Panchayat,507,1,South Goa,SOUTH GOA,,30,Goa
3.0,3,Village Panchayat,254346,1,Advalpal,ADVALPAL,506,30,Goa
4.0,3,Village Panchayat,254347,1,Agarwada Chopdem,AGARWADA  CHOPDEM,506,30,Goa
5.0,3,Village Panchayat,254348,1,Agonda,AGONDA,507,30,Goa
6.0,3,Village Panchayat,254349,1,Aldona,ALDONA,506,30,Goa
7.0,3,Village Panchayat,254350,1,Alorna,ALORNA,506,30,Goa
8.0,3,Village Panchayat,254351,1,Ambaulim,AMBAULIM,507,30,Goa
9.0,3,Village Panchayat,254352,1,Ambelim,AMBELIM,507,30,Goa
10.0,3,Village Panchayat,254353,1,Amona,AMONA,506,30,Goa
11.0,3,Village Panchayat,254354,2,Anjuna-Caisua,ANJUNA-CAISUA,506,30,Goa
12.0,3,Village Panchayat,254355,2,Aquem Baixo,AQUEM BAIXO,507,30,Goa
13.0,3,Village Panchayat,254356,1,Arambol,ARAMBOL,506,30,Goa
14.0,3,Village Panchayat,254357,1,Arpora-Nagoa,ARPORA-NAGOA,506,30,Goa
15.0,3,Village Panchayat,254358,1,Assagao,ASSAGAO,506,30,Goa
16.0,3,Village Panchayat,254359,1,Assanora,ASSANORA,506,30,Goa
17.0,3,Village Panchayat,254360,1,Assolda,ASSOLDA,507,30,Goa
18.0,3,Village Panchayat,254361,1,Assolna,ASSOLNA,507,30,Goa
19.0,3,Village Panchayat,254362,1,Avedem-Cotombi,AVEDEM-COTOMBI,507,30,Goa
20.0,3,Village Panchayat,254363,1,Azossim-Mandur,AZOSSIM-MANDUR,506,30,Goa
21.0,3,Village Panchayat,254364,1,Balli-Adnem,BALLI-ADNEM,507,30,Goa
22.0,3,Village Panchayat,254365,2,Bandora,BANDORA,507,30,Goa
23.0,3,Village Panchayat,254366,1,Barcem,BARCEM,507,30,Goa
24.0,3,Village Panchayat,254367,1,Bastora,BASTORA,506,30,Goa
25.0,3,Village Panchayat,254368,1,Batim,BATIM,506,30,Goa
26.0,3,Village Panchayat,254369,2,Benaulim,BENAULIM,507,30,Goa
27.0,3,Village Panchayat,254370,1,Betalbatim,BETALBATIM,507,30,Goa
28.0,3,Village Panchayat,254371,2,Betora-Nirancal,BETORA-NIRANCAL,507,30,Goa
29.0,3,Village Panchayat,254372,2,"Betqui, Candola","BETQUI, CANDOLA",507,30,Goa
30.0,3,Village Panchayat,254373,1,Bhati,BHATI,507,30,Goa
31.0,3,Village Panchayat,254374,2,Bhoma-Adcolna,BHOMA-ADCOLNA,507,30,Goa
32.0,3,Village Panchayat,254375,1,Birondem,BIRONDEM,506,30,Goa
33.0,3,Village Panchayat,254376,2,Borim,BORIM,507,30,Goa
34.0,3,Village Panchayat,254377,1,Calangute,CALANGUTE,506,30,Goa
35.0,3,Village Panchayat,254378,1,Camurli,CAMURLI,506,30,Goa
36.0,3,Village Panchayat,254379,1,Camurlim,CAMURLIM,507,30,Goa
37.0,3,Village Panchayat,254380,1,Candolim,CANDOLIM,506,30,Goa
38.0,3,Village Panchayat,254403,2,Cansaulim-Arossim-Cuelim,CANSAULIM-AROSSIM-CUELIM,507,30,Goa
39.0,3,Village Panchayat,254381,4,Carambolim,CARAMBOLIM,506,30,Goa
40.0,3,Village Panchayat,254382,1,Carmona,CARMONA,507,30,Goa
41.0,3,Village Panchayat,254383,1,"Casnem, Amberem,Poroscodem","CASNEM, AMBEREM,POROSCODEM",506,30,Goa
42.0,3,Village Panchayat,254384,1,Caurem,CAUREM,507,30,Goa
43.0,3,Village Panchayat,254385,1,Cavelossim,CAVELOSSIM,507,30,Goa
44.0,3,Village Panchayat,254386,2,Chandel Hasapur,CHANDEL HASAPUR,506,30,Goa
