S.No.,Org Unit Code,Org Unit Name (In English),Org Unit Name (In Local),Entity Type,Entity Lc,Parent Org Unit Code,Parent Org Unit Name,Org Located Level Code,Base Organization Name,Base Organization Code,State Name,State Code
1,2398712,Agriculture Department( STATE- Goa),Agriculture Department( राज्य- GOA),1,30,,,6423,Agriculture Department,2849,Goa,30
2,2398714,District Office Agriculture( DISTRICT- North Goa),District Office Agriculture( जिला - NORTH GOA),2,551,2398712,Agriculture Department( STATE- Goa),6424,Agriculture Department,2849,Goa,30
3,2398713,District Office Agriculture( DISTRICT- South Goa),District Office Agriculture( जिला - SOUTH GOA),2,552,2398712,Agriculture Department( STATE- Goa),6424,Agriculture Department,2849,Goa,30
4,2398725,Block Office Agriculture( BLOCK- Bardez),,5,5929,2398714,District Office Agriculture( DISTRICT- North Goa),6425,Agriculture Department,2849,Goa,30
5,2398723,Block Office Agriculture( BLOCK- Bicholim),,5,5930,2398714,District Office Agriculture( DISTRICT- North Goa),6425,Agriculture Department,2849,Goa,30
6,2398726,Block Office Agriculture( BLOCK- Pernem),,5,5931,2398714,District Office Agriculture( DISTRICT- North Goa),6425,Agriculture Department,2849,Goa,30
7,2398719,Block Office Agriculture( BLOCK- Ponda),,5,5932,2398713,District Office Agriculture( DISTRICT- South Goa),6425,Agriculture Department,2849,Goa,30
8,2398724,Block Office Agriculture( BLOCK- Satari),,5,5933,2398714,District Office Agriculture( DISTRICT- North Goa),6425,Agriculture Department,2849,Goa,30
9,2398722,Block Office Agriculture( BLOCK- Tiswadi),,5,5934,2398714,District Office Agriculture( DISTRICT- North Goa),6425,Agriculture Department,2849,Goa,30
10,2398715,Block Office Agriculture( BLOCK- Canacona),,5,5935,2398713,District Office Agriculture( DISTRICT- South Goa),6425,Agriculture Department,2849,Goa,30
11,2398716,Block Office Agriculture( BLOCK- Mormugao),,5,5936,2398713,District Office Agriculture( DISTRICT- South Goa),6425,Agriculture Department,2849,Goa,30
12,2398717,Block Office Agriculture( BLOCK- Quepem),,5,5937,2398713,District Office Agriculture( DISTRICT- South Goa),6425,Agriculture Department,2849,Goa,30
13,2398718,Block Office Agriculture( BLOCK- Salcete),,5,5938,2398713,District Office Agriculture( DISTRICT- South Goa),6425,Agriculture Department,2849,Goa,30
14,2398720,Block Office Agriculture( BLOCK- Sanguem),,5,5939,2398713,District Office Agriculture( DISTRICT- South Goa),6425,Agriculture Department,2849,Goa,30
15,2398721,Block Office Agriculture( BLOCK- Dharbandora),,5,6841,2398713,District Office Agriculture( DISTRICT- South Goa),6425,Agriculture Department,2849,Goa,30
1,2398697,Department Of Education( STATE- Goa),Department Of Education( राज्य- GOA),1,30,,,6420,Department Of Education,2848,Goa,30
2,2398699,District office( DISTRICT- North Goa),District office( जिला - NORTH GOA),2,551,2398697,Department Of Education( STATE- Goa),6421,Department Of Education,2848,Goa,30
3,2398698,District office( DISTRICT- South Goa),District office( जिला - SOUTH GOA),2,552,2398697,Department Of Education( STATE- Goa),6421,Department Of Education,2848,Goa,30
4,2398710,Block office( BLOCK- Bardez),,5,5929,2398699,District office( DISTRICT- North Goa),6422,Department Of Education,2848,Goa,30
