S.No.,Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,State Code,State Name
1,252084,Mormugao,37247,1,Mormugao (M Cl) - Ward No.1,30,Goa
2,252057,Pernem,37754,5,Pernem (M Cl) - Ward No.5,30,Goa
3,252071,City Corporation Panaji,1448,15,Panaji (M Cl) - Ward No.15,30,Goa
4,252087,Margao,1307298,25,Margao (Mci) - Ward No. 25,30,Goa
5,252075,Bicholim,74921,10,Bicholim (M Cl) - Ward No.10,30,Goa
6,252071,City Corporation Panaji,932802,28,Panaji (Mci) - Ward No.28,30,Goa
7,252097,Quepem,37382,2,Quepem (M Cl) - Ward No.2,30,Goa
8,252095,Cuncolim,1307284,12,Cuncolim (M Ci)- Ward No. 12,30,Goa
9,252097,Quepem,37385,5,Quepem (M Cl) - Ward No.5,30,Goa
10,252087,Margao,1609,16,Margao (M Cl) - Ward No.16,30,Goa
11,252082,Ponda,37243,7,Ponda (M Cl) - Ward No.7,30,Goa
12,252099,Sanguem,37458,10,Sanguem (M Cl) - Ward No.10,30,Goa
13,252095,Cuncolim,1616,3,Cuncolim (M Cl) - Ward No.3,30,Goa
14,252087,Margao,1307295,22,Margao (Mci) - Ward No. 22,30,Goa
15,252084,Mormugao,1307303,25,Mormugao (M Ci) - Ward No. 25,30,Goa
16,252075,Bicholim,68191,6,Bicholim (M Cl) - Ward No.6,30,Goa
17,252096,Curchorem Cacora,37375,5,Curchorem Cacora (M Cl) - Ward No.5,30,Goa
18,252096,Curchorem Cacora,1307286,14,Curchorem Cacora (M Ci) - Ward No. 14,30,Goa
19,252061,Mapusa,1307292,19,Mapusa (M Ci) - Ward No. 19,30,Goa
20,252061,Mapusa,1307290,17,Mapusa (M Ci) - Ward No. 17,30,Goa
21,252057,Pernem,37753,4,Pernem (M Cl) - Ward No.4,30,Goa
22,252071,City Corporation Panaji,1446,13,Panaji (M Cl) - Ward No.13,30,Goa
23,252071,City Corporation Panaji,1445,12,Panaji (M Cl) - Ward No.12,30,Goa
24,252096,Curchorem Cacora,3055179,15,Curchorem Cacora (M CI) - Ward No. 15,30,Goa
25,252097,Quepem,37388,8,Quepem (M Cl) - Ward No.8,30,Goa
26,252097,Quepem,1307305,11,Quepem (M Ci) - Ward No. 11,30,Goa
27,252077,Sankhali,1307306,12,Sanquelim (M Ci) - Ward No. 12,30,Goa
28,252082,Ponda,932829,11,Ponda (Mci) - Ward No.11,30,Goa
29,252082,Ponda,37241,5,Ponda (M Cl) - Ward No.5,30,Goa
30,252099,Sanguem,1624,1,Sanguem (M Cl) - Ward No.1,30,Goa
31,252087,Margao,6361,18,Margao (Mci) - Ward No.18,30,Goa
32,252082,Ponda,37239,3,Ponda (M Cl) - Ward No.3,30,Goa
33,252071,City Corporation Panaji,932808,29,Panaji (Mci) - Ward No.29,30,Goa
