S.No.,State Code,State Name (In English),State Census 2011 Code,District Code,District Name (In English),District Census 2011 Code,Subdistrict Code,Subdistrict Name (In English),Subdistrict Census 2011 Code,Village Code,Village Name (In English),Village Census 2011 Code,Localbody Code,localbody Name (In English),Localbody Census 2011 Code,Development Block Code,Development Block Name (In English),District Code of Development Block,District Name of Development Block (In English)
1,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626704,Aldona (Ct),626704,254349,Aldona,0,5929,Bardez,551.0,North Goa
2,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626694,Anjuna (Ct),626694,254354,Anjuna-Caisua,0,5929,Bardez,551.0,North Goa
3,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626673,Arpora,626673,254357,Arpora-Nagoa,0,5929,Bardez,551.0,North Goa
4,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626672,Assagao,626672,254358,Assagao,0,5929,Bardez,551.0,North Goa
5,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626668,Assonora,626668,254359,Assanora,0,5929,Bardez,551.0,North Goa
6,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626678,Bastora,626678,254367,Bastora,0,5929,Bardez,551.0,North Goa
7,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626695,Calangute (Ct),626695,254377,Calangute,0,5929,Bardez,551.0,North Goa
8,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626695,Calangute (Ct),626695,254380,Candolim,0,5929,Bardez,551.0,North Goa
9,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626685,Calvim,626685,254349,Aldona,0,5929,Bardez,551.0,North Goa
10,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626663,Camurlim,626663,254378,Camurli,0,5929,Bardez,551.0,North Goa
11,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626677,Canca,626677,254531,Verla Canca,0,5929,Bardez,551.0,North Goa
12,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626697,Candolim (Ct),626697,254380,Candolim,0,5929,Bardez,551.0,North Goa
