Code,Name,Class,Type,District Code,District Name,SubDistrict Code,SubDistrict Name,Parliament Constituency code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency Name,Ward Count,Village Names,Pincodes
254357,Arpora-Nagoa,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3679,Calangute,7,"Arpora, Nagoa (part)",403516
254358,Assagao,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3691,Siolim,7,Assagao,403507
254359,Assanora,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3677,Aldona,9,"Assonora, Moitem",403503
254367,Bastora,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3677,Aldona,7,Bastora,403507
254378,Camurli,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3695,Tivim,7,Camurlim (part),403507
254449,Nachinola,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3677,Aldona,7,Nachinola,403508
254450,Nadora,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3695,Tivim,5,Nadora,403513
254462,Oxel,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3691,Siolim,7,Oxel,403517
254469,Parra,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3679,Calangute,7,Parra,403510
254473,Pirna,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3695,Tivim,7,Pirna,403513
254529,Reis-Magos,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3689,Saligao,11,Reis-Magos,403114
254482,Revora,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3695,Tivim,7,Revora,403513
254490,Sangolda,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3689,Saligao,7,Sangolda,403511
254504,Sirsaim,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3695,Tivim,7,Sircaim,403502
254516,Thivim,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3695,Tivim,11,Tivim,403502
254520,Ucassaim-Paliem-Punola,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3677,Aldona,7,"Paliem (part), Punola, Ucassaim",403507
254531,Verla Canca,Village,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3691,Siolim,9,"Canca, Verla",403510
252061,Mapusa,Town,Municipality,551,North Goa,5610,Bardez,480,North Goa,3683,Mapusa,40,,403507
254349,Aldona,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3677,Aldona,11,"Aldona (Ct), Calvim, Corjuem, Ponolem","403507, 403508, 403523"
254354,Anjuna-Caisua,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3691,Siolim,11,Anjuna (Ct),403509
254377,Calangute,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3679,Calangute,11,Calangute (Ct) (part),
254380,Candolim,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3689,Saligao,11,"Calangute (Ct) (part), Candolim (Ct), Marra (part)","403515, 403516"
254396,Colvale,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3695,Tivim,9,Colvale (Ct),403513
254419,Guirim,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3689,Saligao,9,Guirim (Ct),403507
254442,Moira,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3677,Aldona,7,Moira (Ct),403507
254457,Nerul,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3689,Saligao,9,Nerul (Ct),403114
254470,Penha-De-France,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3687,Porvorim,11,Penha-De-Franca (Ct),403101
254471,Pilerne - Marra,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3689,Saligao,9,"Marra (part), Pilerne (Ct)",403114
